,group,category,french_name,name,rating_quality,footprint
250,cereal products,"pasta, rice and cereals","Orge perlée, crue","Pearled barley, raw",2.86,0.78669561
251,"fruits, vegetables, pulses and oilseeds",vegetables,"Banane plantain, crue","Plantain banana, raw",2.6,0.72416839
252,cereal products,"pasta, rice and cereals","Polenta ou semoule de maïs, cuite, non salée","Polenta or maize semolina, cooked, unsalted",2.56,0.7109528
253,"fruits, vegetables, pulses and oilseeds",fruits,"Grenade, pulpe et pépins, crue","Pomegranate, pulp and pips, raw",3.12,0.48557222
254,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Pomme de terre, flocons déshydratés, nature","Potato flakes, dehydrated, plain",3.07,0.70143671
255,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Pomme de terre, sans peau, crue","Potato, peeled, raw",2.26,0.49375858
256,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,Pomme de terre sautée/poêlée à la graisse de canard,"Potato, sautéed/pan-fried, with goose fat",2.85,0.67343572
257,"fruits, vegetables, pulses and oilseeds",fruits,"Figue de Barbarie, pulpe et graines, crue","Prickly pear, pulp and seeds, raw",3.04,0.36428259
258,"fruits, vegetables, pulses and oilseeds",fruits,"Pamplemousse chinois, pulpe, cru","Pummelo, pulp, raw",2.36,0.76992358
259,"fruits, vegetables, pulses and oilseeds",vegetables,"Courge musquée, pulpe, crue","Pumpkin (cucurbita moschata), pulp, raw",2.6,0.59451138
260,"fruits, vegetables, pulses and oilseeds",vegetables,"Citrouille, pulpe, crue","Pumpkin, pulp, raw",2.49,0.61884889
261,"fruits, vegetables, pulses and oilseeds",vegetables,"Potiron, cru","Pumpkin, raw",2.49,0.61884889
262,culinary aids and various ingredients,salt,"Fleur de sel, non iodée, non fluorée","Pure sea salt, no enrichment",2.02,0.6040639
263,"fruits, vegetables, pulses and oilseeds",fruits,"Coing, cru","Quince, raw",3.01,0.54109011
264,"fruits, vegetables, pulses and oilseeds",vegetables,"Radis noir, cru","Radish, black, raw",2.68,0.60184735
265,"fruits, vegetables, pulses and oilseeds",vegetables,"Radis rouge, cru","Radish, raw",2.43,0.60184735
266,"fruits, vegetables, pulses and oilseeds",vegetables,"Chicorée rouge, crue","Red endive, raw",2.6,0.62544862
267,"fruits, vegetables, pulses and oilseeds",pulses,"Haricot rouge, cuit","Red kidney bean, cooked",3.08,0.41844255
268,"fruits, vegetables, pulses and oilseeds",vegetables,"Potimarron, pulpe, cru","Red kuri squash, pulp, raw",2.55,0.59451138
269,"fruits, vegetables, pulses and oilseeds",fruits,"Rhubarbe, tige, crue","Rhubarb, stalk, raw",3.12,0.7167487
270,drinks,soft drinks,"Boisson à base de riz, nature","Rice-based drink, plain",3.56,0.37230304
271,cereal products,bread and viennoiseries,"Pain pour hamburger ou hot dog (bun), complet, préemballé","Rolls for hamburger/hotdog (buns), wholemeal, prepacked",1.95,0.68085378
272,"fruits, vegetables, pulses and oilseeds",vegetables,"Chou romanesco ou brocoli à pomme, cru","Romanesco cauliflower or romanesco broccoli, raw",2.55,0.73551222
273,cereal products,bread and viennoiseries,"Pain grillé, tranches, multicéréale","Rusk , slice, multigrain",2.73,0.73395328
274,cereal products,bread and viennoiseries,"Pain grillé, tranches, au froment","Rusk, slice, wheat",2.73,0.79177967
275,"fruits, vegetables, pulses and oilseeds",vegetables,"Rutabaga, cru","Rutabaga or Swede, raw",2.6,0.45782909
276,cereal products,bread and viennoiseries,"Pain de seigle, et froment","Rye bread, and wheat",2.73,0.66989098
277,cereal products,flour and pie dough,Farine de seigle T130,"Rye flour, type 130",3.3,0.64470181
278,cereal products,flour and pie dough,Farine de seigle T170,"Rye flour, type 170",3.3,0.64470181
279,cereal products,flour and pie dough,Farine de seigle T85,"Rye flour, type 85",3.3,0.64470181
280,cereal products,"pasta, rice and cereals","Seigle entier, cru","Rye, whole, raw",3.15,0.72363685
281,sweet products,sugar and honey,édulcorant à la saccharine,Saccharin sweetener,3.65,0.78092676
282,"fruits, vegetables, pulses and oilseeds",vegetables,"Salsifis noir, cru","Salsify, black, raw",2.6,0.45782909
283,"fruits, vegetables, pulses and oilseeds",vegetables,"Salsifis, surgelé, cru","Salsify, frozen, raw",3.1,0.70467707
284,culinary aids and various ingredients,salt,"Sel blanc alimentaire, iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), iodine added, no other enrichment",2.87,0.6040639
285,culinary aids and various ingredients,salt,"Sel blanc alimentaire, non iodé, non fluoré (marin, ignigène ou gemme)","Salt, white, for human consumption (sea, igneous or rock), no enrichment",2.44,0.6040639
286,culinary aids and various ingredients,salt,"Sel marin gris, non iodé, non fluoré","Sea salt, grey, no enrichment",2.44,0.6040639
287,"fruits, vegetables, pulses and oilseeds",vegetables,"échalote, crue","Shallot, raw",2.6,0.36486326
288,drinks,soft drinks,Smoothie,Smoothie,3.07,0.69418065
289,drinks,soft drinks,"Boisson gazeuse, sans jus de fruit, sucrée, avec édulcorants","Soft drink, carbonated, without fruit juice, with sugar and artificial sweetener(s)",2.6,0.51122506
290,drinks,soft drinks,"Boisson gazeuse, sans jus de fruit, sucrée","Soft drink, carbonated, without fruit juice, with sugar",2.6,0.51122506
291,cereal products,"pasta, rice and cereals","Sorgho entier, cru","Sorghum, whole, raw",3.45,0.63091455
292,"fruits, vegetables, pulses and oilseeds",vegetables,"Oseille, crue","Sorrel, raw",2.6,0.62544862
293,baby food,small salted pots and infant dishes,Soupe pour bébé légumes et pomme de terre,"Soup for baby, with vegetables and potatoes",2.84,0.52963323
294,baby food,small salted pots and infant dishes,"Soupe pour bébé légumes, céréales et lait","Soup for baby, with vegetables, cereals and milk",2.78,0.58607024
295,starters and mixed dishes,soups,"Soupe à la carotte, préemballée à réchauffer","Soup, carrots, prepacked, to be reheated",2.42,0.45026808
296,starters and mixed dishes,soups,"Soupe aux céréales et aux légumes, déshydratée reconstituée","Soup, cereals and vegetables, dehydrated and reconstituted",3.07,0.53963209
297,starters and mixed dishes,soups,"Soupe à la volaille et aux légumes, déshydratée reconstituée","Soup, chicken and vegetables, dehydrated and reconstituted",2.89,0.13310224
298,starters and mixed dishes,soups,"Soupe à la volaille et aux légumes, préemballée à réchauffer","Soup, chicken and vegetables, prepacked, to be reheated",3.31,0.13310224
299,starters and mixed dishes,soups,Soupe froide type Gaspacho ou Gazpacho,"Soup, gazpacho, cold",3.07,0.41716588
300,starters and mixed dishes,soups,"Soupe aux poireaux et pommes de terre, déshydratée reconstituée","Soup, leek and potato, dehydrated and reconstituted",2.77,0.41036522
301,starters and mixed dishes,soups,"Soupe aux poireaux et pommes de terre, préemballée à réchauffer","Soup, leek and potato, prepacked, to be reheated",2.51,0.45364443
302,starters and mixed dishes,soups,"Soupe aux lentilles, préemballée à réchauffer","Soup, lentils, prepacked, to be reheated",2.59,0.46338981
303,starters and mixed dishes,soups,"Soupe minestrone, préemballée à réchauffer","Soup, minestrone, prepacked, to be reheated",2.56,0.51833801
304,starters and mixed dishes,soups,"Soupe aux légumes variés, déshydratée reconstituée","Soup, mixed vegetables, dehydrated and reconstituted",2.72,0.46678971
305,starters and mixed dishes,soups,"Soupe aux légumes variés, préemballée à réchauffer","Soup, mixed vegetables, prepacked, to be reheated",2.42,0.51008144
306,starters and mixed dishes,soups,"Soupe au pistou, déshydratée reconstituée","Soup, pistou (basil, garlic and olive oil), dehydrated and reconstituted",2.64,0.47504444
307,starters and mixed dishes,soups,"Soupe au pistou, préemballée à réchauffer","Soup, pistou (basil, garlic and olive oil), prepacked, to be reheated",2.08,0.51833801
308,starters and mixed dishes,soups,"Soupe au potiron, déshydratée reconstituée","Soup, pumpkin, dehydrated and reconstituted",2.69,0.69623474
309,starters and mixed dishes,soups,"Soupe au potiron, préemballée à réchauffer","Soup, pumpkin, prepacked, to be reheated",2.4,0.73957743
310,starters and mixed dishes,soups,"Soupe aux pois cassés, préemballée à réchauffer","Soup, split peas, prepacked, to be reheated",3.07,0.46338981
311,starters and mixed dishes,soups,"Soupe à la tomate et aux vermicelles, déshydratée reconstituée","Soup, tomato and vermicelli, dehydrated and reconstituted",2.83,0.53963209
312,starters and mixed dishes,soups,"Soupe à la tomate et aux vermicelles, préemballée à réchauffer","Soup, tomatoes and vermicelli, prepacked, to be reheated",2.65,0.58294
313,starters and mixed dishes,soups,"Soupe à la tomate, déshydratée reconstituée","Soup, tomatoes, dehydrated and reconstituted",2.83,0.37389477
314,starters and mixed dishes,soups,"Soupe à la tomate, préemballée à réchauffer","Soup, tomatoes, prepacked, to be reheated",2.59,0.41716588
315,starters and mixed dishes,soups,"Soupe au cresson, déshydratée reconstituée","Soup, watercress, dehydrated and reconstituted",2.69,0.52055044
316,starters and mixed dishes,soups,"Soupe au cresson, préemballée à réchauffer","Soup, watercress, prepacked, to be reheated",2.4,0.56385411
317,drinks,soft drinks,"Boisson au soja, aromatisée, sucrée, enrichie en calcium","Soy drink, flavoured, enriched in calcium, w sugar or fruit concentrate",2.95,0.45317029
318,drinks,soft drinks,"Boisson au soja, aromatisée, sucrée","Soy drink, flavoured, with sugar",2.95,0.45317029
319,drinks,soft drinks,"Boisson au soja, nature, enrichie en calcium","Soy drink, plain, fortified with calcium",2.95,0.45317029
320,drinks,soft drinks,"Boisson au soja, nature","Soy drink, plain, prepacked",2.18,0.44576589
321,"meat, eggs, fish",meat substitutes,Protéine de soja texturée,"Soy protein, textured, rehydrated, from soy flour",2.2,0.59378245
322,culinary aids and various ingredients,sauces,"Sauce soja, préemballée","Soy sauce, prepacked",2.49,0.75260085
323,"fruits, vegetables, pulses and oilseeds",vegetables,"épinard, surgelé, cru","Spinach, frozen, raw",2.9,0.75265763
324,"fruits, vegetables, pulses and oilseeds",vegetables,"épinard, purée","Spinach, puree",2.89,0.71880137
325,"fruits, vegetables, pulses and oilseeds",vegetables,"épinard, cru","Spinach, raw",2.38,0.39129915
326,"fruits, vegetables, pulses and oilseeds",vegetables,"épinard, jeunes pousses pour salades, cru","Spinach, young leaves, raw",2.51,0.39129915
327,"fruits, vegetables, pulses and oilseeds",pulses,"Pois cassé, cuit","Split pea, cooked",3.29,0.37684712
328,drinks,water,"Eau de source Cristaline, embouteillée, non gazeuse","Spring still water (Cristaline), bottled",2.97,0.26707462
329,drinks,water,"Eau de source Ogeu, embouteillée, faiblement minéralisée (Ogeu, 64)","Spring water (Ogeu), bottled, lightly mineralized",2.97,0.26707462
330,"fruits, vegetables, pulses and oilseeds",vegetables,"Courge, crue","Squash, all types, raw",2.38,0.61884889
331,"fruits, vegetables, pulses and oilseeds",vegetables,"Courge doubeurre (butternut), pulpe, crue","Squash, butternut, pulp, raw",2.51,0.61884889
332,"fruits, vegetables, pulses and oilseeds",vegetables,"Courge melonnette, pulpe, crue","Squash, melonnette jaspée from Vendée, pulp, raw",2.51,0.61884889
333,"fruits, vegetables, pulses and oilseeds",vegetables,"Courge spaghetti, pulpe, crue","Squash, spaghetti, pulp, raw",2.38,0.61884889
334,drinks,soft drinks,"Boisson au Thé, aromatisée, sucrée","Still soft drink with tea extract, flavoured, with sugar",2.74,0.5220287
335,drinks,soft drinks,"Boisson au Thé, aromatisée, non sucrée, avec édulcorants","Still soft drink with tea extract, flavoured, without sugar and with artificial sweeteners",3.02,0.5220287
336,drinks,soft drinks,"Boisson au Thé, aromatisée, sucrée, avec édulcorants","Still soft drink with tea extract, with sugar and artificial sweetener(s)",3.02,0.5220287
337,"fruits, vegetables, pulses and oilseeds",fruits,"Fraise de saison, crue","Strawberry, in-season, raw",2.14,0.47706578
338,"fruits, vegetables, pulses and oilseeds",fruits,"Fraise hors saison, crue","Strawberry, off-season, raw",2.14,0.54865923
339,"fruits, vegetables, pulses and oilseeds",fruits,"Fraise, crue","Strawberry, raw",2.25,0.49649032
340,sweet products,sugar and honey,Sucre vanillé,"Sugar, vanilla flavoured",2.88,0.61236596
341,sweet products,sugar and honey,Sucre blanc,"Sugar, white",2.99,0.61236596
342,"fruits, vegetables, pulses and oilseeds",vegetables,"Courge hokkaïdo, pulpe, crue","Sweet green hokkaido squash, pulp, raw",2.55,0.59451138
343,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Patate douce, cuite","Sweet potato, cooked",3,0.70962933
344,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Patate douce, crue","Sweet potato, raw",2.6,0.30392412
345,"fruits, vegetables, pulses and oilseeds",vegetables,"Bette ou blette, crue","Swiss chard, raw",2.55,0.54275358
346,drinks,soft drinks,"Boisson préparée à partir de sirop à diluer type menthe, fraise, etc, sucré, dilué dans l'eau","Syrup (mint, strawberries flavouredetc.), with sugar diluted in water",2.95,0.10203293
347,culinary aids and various ingredients,various ingredients,Sirop pour fruits appertisés au sirop,Syrup for canned fruits in syrup,2.99,0.72893229
348,"fruits, vegetables, pulses and oilseeds",fruits,"Tamarin, fruit immature, pulpe, cru","Tamarind, mature fruit, pulp, raw",2.92,0.48961605
349,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Taro, tubercule, cru","Taro, tuber, raw",2.6,0.62996196
350,culinary aids and various ingredients,herbs,"Estragon, frais","Tarragon, fresh",3.75,0.68984205
351,drinks,soft drinks,"Thé infusé, non sucré","Tea, brewed, without sugar",2.98,0.039161353
352,"fruits, vegetables, pulses and oilseeds",vegetables,"Julienne ou brunoise de légumes, surgelée, crue","Thinly-shredded or diced vegetables, frozen, raw",2.88,0.7269832
353,starters and mixed dishes,mixed dishes,"Tofu, nature","Tofu, plain",2.59,0.66453615
354,"fruits, vegetables, pulses and oilseeds",vegetables,"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)","Tomato coulis, canned (tomato puree semi-reduced 11%)",3.11,0.66989659
355,drinks,soft drinks,"Jus de tomate, pur jus (aliment moyen)","Tomato juice, pure juice (average)",2.11410595215084,0.49791655
356,"fruits, vegetables, pulses and oilseeds",vegetables,"Tomate, purée, appertisée","Tomato puree, canned",3.11,0.66989659
357,culinary aids and various ingredients,various ingredients,Base de pizza tomatée,Tomato sauce for pizza base,3.19,0.71829418
358,"fruits, vegetables, pulses and oilseeds",vegetables,"Tomate cerise, crue","Tomato, cherry, raw",2.6,0.58155648
359,"fruits, vegetables, pulses and oilseeds",vegetables,"Tomate verte, crue","Tomato, green, raw",2.45,0.70339467
360,"fruits, vegetables, pulses and oilseeds",vegetables,"Tomate de saison, crue","Tomato, in season, raw",2.26,0.58155648
361,"fruits, vegetables, pulses and oilseeds",vegetables,"Tomate, crue","Tomato, raw",2.32,0.70339467
362,drinks,soft drinks,"Tonic ou bitter, sucré, avec édulcorants","Tonic drink, with sugar and artificial sweetener(s)",2.6,0.51122506
363,drinks,soft drinks,"Tonic ou bitter, sucré","Tonic drink, with sugar",2.6,0.51122506
364,drinks,soft drinks,"Tonic ou bitter, non sucré, avec édulcorants","Tonic drink, without sugar, with artificial sweetener(s)",2.6,0.51122506
365,culinary aids and various ingredients,culinary aids,"Pizza, sauce garniture pour",Topping sauce for pizza,3.19,0.71829418
366,"fruits, vegetables, pulses and oilseeds",vegetables,"Chou-rave, cru","Turnip cabbage, raw",2.7,0.45812589
367,"fruits, vegetables, pulses and oilseeds",vegetables,"Navet, surgelé, cru","Turnip, frozen, raw",2.95,0.73471505
368,"fruits, vegetables, pulses and oilseeds",vegetables,"Navet, pelé, cru","Turnip, peeled, raw",2.43,0.3643211
369,baby food,small salted pots and infant dishes,"Plat légumes, avec féculent, dès 6-8 mois","Vegetable dish for baby, with starch, from 6-8 months",2.39,0.75385415
370,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Pomme de terre de conservation, sans peau, bouillie/cuite à l'eau","Ware potato, boiled/cooked in water, peeled",2.7,0.64971087
371,drinks,water,Eau embouteillée de source,"Water, bottled",2.51,0.26707462
372,drinks,water,"Eau minérale Carola, embouteillée, gazeuse ou non gazeuse, moyennement minéralisée (Ribeauville, 68)","Water, mineral, carbonated ou non-carbonated, CAROLA",2.97,0.26707462
373,drinks,water,"Eau minérale Eden (La Goa), embouteillée, non gazeuse, faiblement minéralisée (Suisse)","Water, mineral, non-carbonated, EDEN",2.97,0.26707462
374,drinks,water,"Eau minérale Mont-Blanc, embouteillée, non gazeuse, faiblement minéralisée (Italie)","Water, mineral, non-carbonated, MONT-BLANC",2.97,0.26707462
375,"fruits, vegetables, pulses and oilseeds",fruits,"Pastèque, pulpe, crue","Watermelon, pulp, raw",2.68,0.64146382
376,culinary aids and various ingredients,various ingredients,Son de blé,Wheat bran,2.68,0.3287981
377,cereal products,"pasta, rice and cereals","Boulgour de blé, cuit, non salé","Wheat bulgur, cooked, unsalted",3,0.48323825
378,cereal products,flour and pie dough,Farine de blé tendre ou froment avec levure incorporée,"Wheat flour, self-raising",2.57,0.71878192
379,cereal products,flour and pie dough,Farine de blé tendre ou froment T110,"Wheat flour, type 110",2.57,0.71867177
380,cereal products,flour and pie dough,Farine de blé tendre ou froment T150,"Wheat flour, type 150",2.57,0.71878192
381,cereal products,flour and pie dough,Farine de blé tendre ou froment T55 (pour pains),"Wheat flour, type 55 (for bread)",2.57,0.71878192
382,cereal products,flour and pie dough,Farine de blé tendre ou froment T45 (pour pâtisserie),"Wheat flour, type 55 (for pastry)",2.57,0.71878192
383,cereal products,flour and pie dough,Farine de blé tendre ou froment T65,"Wheat flour, type 65",2.57,0.71878192
384,cereal products,flour and pie dough,Farine de blé tendre ou froment T80,"Wheat flour, type 80",2.57,0.71911716
385,starters and mixed dishes,mixed dishes,"Cassoulet, appertisé","White bean stew, canned",2.82,0.7602421
386,"fruits, vegetables, pulses and oilseeds",vegetables,"Chou blanc, cru","White cabbage, raw",2.38,0.66082048
387,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Igname, épluchée, bouillie/cuite à l'eau","Yam or Indian potato, peeled, boiled/cooked in water",2.8,0.73276483
388,"fruits, vegetables, pulses and oilseeds",potatoes and other tubers,"Igname, épluchée, crue","Yam or Indian potato, peeled, raw",2.6,0.44728479
